contact_name,device_name,rssi,location,duration,date,contact
SM-G780FSP1A.210812.016,Lenovo TB-X505F,0,"- , -",3:04 min,2022-05-10 02:17:00,[B@1014f19
SM-G780FSP1A.210812.016,SM-G991B,-7,"55.72, 13.22",3:10 min,2022-05-11 03:29:00,[B@1051241
LIO-AL00HUAWEILIO-AL00,SM-G780F,0,"- , -",33 sec,2022-05-10 12:33:00,[B@11434fb
Lenovo TB-X505F,SM-A700H,-51,"- , -",47 sec,2022-05-09 04:17:00,[B@1153292
Galaxy S20 FE de Marie,SM-G991B,0,"- , -",36 sec,2022-05-09 02:01:00,[B@1164bee
Nokia 7.2,SM-G780F,0,"55.72, 13.21",13 sec,2022-05-09 09:38:00,[B@125ca19
SM-G991B,G8341,-33,"55.71, 13.23",53 sec,2022-05-09 03:08:00,[B@127b822
G834147.2.A.11.228,SM-G991B,0,"55.72, 13.22",25:39 min,2022-05-11 05:40:00,[B@12dd7e9
SM-G991B,SM-G780F,-96,"55.72, 13.21",13 sec,2022-05-09 10:06:00,[B@13599b6
Galaxy S20 FE de Marie,SM-G991B,0,"55.72, 13.21",1:40 min,2022-05-09 01:08:00,[B@1400e38
LIO-AL00HUAWEILIO-AL00,SM-A700H,0,"- , -",24 sec,2022-05-10 11:36:00,[B@1446706
SM-G991BSP1A.210812.016,SM-G780F,-72,"- , -",14 sec,2022-05-10 09:31:00,[B@14649a7
Lenovo TB-X505F,SM-G780F,0,"- , -",13 sec,2022-05-09 03:47:00,[B@148e179
LIO-AL00HUAWEILIO-AL00,SM-G780F,0,"- , -",1:28 min,2022-05-10 12:36:00,[B@151034c
SM-G991BSP1A.210812.016,SM-A700H,0,"- , -",32 sec,2022-05-10 12:55:00,[B@153d711
Lenovo TB-X505F,SM-G780F,0,"55.72, 13.22",24 sec,2022-05-03 01:34:00,[B@1559462
G834147.2.A.11.228,SM-G991B,-1,"55.72, 13.22",33 sec,2022-05-11 09:25:00,[B@15a7d57
LIO-AL00,G8341,-70,"55.71, 13.23",20 sec,2022-05-09 05:26:00,[B@160201d
SM-G991BSP1A.210812.016,G8341,0,"55.71, 13.23",28 sec,2022-05-10 10:32:00,[B@173ab1f
Lenovo TB-X505F,SM-G780F,0,"55.72, 13.21",2:18 min,2022-05-09 10:02:00,[B@178de93
Lenovo TB-X505F,SM-G780F,-25,"55.72, 13.22",1:09 min,2022-05-10 02:27:00,[B@1796af2
Nokia 7.2,SM-G780F,0,"- , -",3:10 min,2022-05-03 01:29:00,[B@17b418e
G8341,SM-G780F,0,"55.72, 13.21",25 sec,2022-05-09 02:00:00,[B@184d6a5
Nokia 7.2,SM-G780F,0,"55.72, 13.21",1:31:25 hours,2022-05-09 02:01:00,[B@18f9c5e
SM-G991BSP1A.210812.016,SM-G780F,-73,"55.72, 13.22",20 sec,2022-05-12 10:34:00,[B@193e31f
Lenovo TB-X505F,SM-G780F,0,"55.72, 13.22",33:48 min,2022-05-12 03:06:00,[B@1971e35
Nokia 7.2,SM-G991B,0,"55.72, 13.22",13:31 min,2022-05-09 02:51:00,[B@1a438d9
LIO-AL00HUAWEILIO-AL00,SM-A700H,0,"- , -",1:48 min,2022-05-10 11:10:00,[B@1a80758
G834147.2.A.11.228,SM-G991B,0,"- , -",37:27 min,2022-05-11 10:04:00,[B@1aa107e
Lenovo TB-X505F,SM-G991B,0,"55.72, 13.21",18 sec,2022-05-12 07:46:00,[B@1ab701b
LIO-AL00,SM-A700H,-75,"- , -",32 sec,2022-05-09 01:09:00,[B@1b293eb
Galaxy S20 FE de Marie,SM-G991B,0,"- , -",38 sec,2022-05-09 12:02:00,[B@1c6ef36
SM-G991B,SM-G780F,0,"55.72, 13.21",11:13 min,2022-05-09 09:34:00,[B@1d1b4b8
G8341,SM-G780F,0,"55.72, 13.21",24 sec,2022-05-09 02:02:00,[B@1d32f46
Galaxy S20 FE de Marie,SM-G991B,0,"- , -",27:10 min,2022-05-09 11:30:00,[B@1d8912a
Nokia 7.2RKQ1.210607.001,SM-G991B,0,"- , -",13 sec,2022-05-11 10:06:00,[B@1da388e
SM-G991B,Lenovo TB-X505F,-15,"- , -",22 sec,2022-05-09 09:43:00,[B@1dee519
LIO-AL00HUAWEILIO-AL00,SM-A700H,0,"- , -",13 sec,2022-05-10 11:26:00,[B@1e15fd0
Nokia 7.2RKQ1.210607.001,SM-G780F,0,"55.72, 13.22",34:37 min,2022-05-12 03:05:00,[B@1e386c
LIO-AL00HUAWEILIO-AL00,SM-A700H,0,"- , -",10:20 min,2022-05-10 09:17:00,[B@1f08cd
SM-G780F,SM-G991B,0,"- , -",1:47 min,2022-05-09 01:14:00,[B@1f652e6
SM-G780FSP1A.210812.016,Lenovo TB-X505F,-40,"55.72, 13.22",13 sec,2022-05-11 03:51:00,[B@2054129
LIO-AL00HUAWEILIO-AL00,SM-A700H,0,"- , -",25 sec,2022-05-10 10:52:00,[B@212acf8
Lenovo TB-X505F,SM-G780F,0,"- , -",13 sec,2022-05-09 01:16:00,[B@214f0b7
G8341,SM-G780F,0,"55.72, 13.21",34 sec,2022-05-09 09:34:00,[B@21b6b26
SM-G991BSP1A.210812.016,SM-G780F,0,"55.72, 13.22",13 sec,2022-05-10 09:52:00,[B@21f01e2
LIO-AL00HUAWEILIO-AL00,SM-A700H,0,"- , -",24 sec,2022-05-10 12:10:00,[B@22b21ab
LIO-AL00HUAWEILIO-AL00,SM-A700H,0,"- , -",13:45 min,2022-05-10 09:03:00,[B@22c6c15
Lenovo TB-X505F,SM-G991B,0,"- , -",4:42 min,2022-05-11 01:23:00,[B@22e638e
Lenovo TB-X505F,SM-G780F,0,"55.72, 13.22",3:28 min,2022-05-11 03:28:00,[B@239267b
Nokia 7.2,SM-G780F,0,"55.72, 13.22",1:01 min,2022-04-27 06:06:00,[B@23954f9
SM-G991BSP1A.210812.016,SM-G780F,-84,"- , -",40 sec,2022-05-10 09:23:00,[B@23f5c2d
Lenovo TB-X505F,SM-G991B,0,"- , -",2:47 min,2022-05-12 07:21:00,[B@24d7c1
SM-G780FSP1A.210812.016,G8341,-91,"55.72, 13.22",43 sec,2022-05-12 10:38:00,[B@259b07b
SM-A700HMMB29M,SM-G780F,-92,"- , -",17 sec,2022-05-10 12:09:00,[B@267ee81
LIO-AL00HUAWEILIO-AL00,SM-A700H,0,"- , -",1:10 min,2022-05-10 10:34:00,[B@26b50b2
Lenovo TB-X505F,SM-G780F,0,"- , -",13 sec,2022-05-09 03:58:00,[B@2732e48
G834147.2.A.11.228,SM-G991B,0,"- , -",2:01 min,2022-05-11 06:10:00,[B@2798e2c
Lenovo TB-X505F,SM-G780F,0,"- , -",2:13 min,2022-05-03 01:29:00,[B@27d68b
SM-G780FSP1A.210812.016,Lenovo TB-X505F,0,"55.72, 13.22",4:07 min,2022-05-11 11:57:00,[B@28735f3
SM-G780F,G8341,0,"55.71, 13.23",2:28 min,2022-05-09 01:17:00,[B@28f58e6
